, ,Number of genomes,gene_class
965,Cluster 965,9,unique
966,Cluster 966,1,unique
967,Cluster 967,55,accessory
968,Cluster 968,16,accessory
969,Cluster 969,1,unique
970,Cluster 970,4,unique
971,Cluster 971,1,unique
972,Cluster 972,2,unique
973,Cluster 973,4,unique
974,Cluster 974,16,accessory
975,Cluster 975,4,unique
976,Cluster 976,15,accessory
977,Cluster 977,46,accessory
978,Cluster 978,35,accessory
979,Cluster 979,34,accessory
980,Cluster 980,1,unique
981,Cluster 981,63,accessory
982,Cluster 982,62,accessory
983,Cluster 983,63,accessory
984,Cluster 984,2,unique
985,Cluster 985,63,accessory
986,Cluster 986,2,unique
987,Cluster 987,3,unique
988,Cluster 988,12,unique
989,Cluster 989,1,unique
990,Cluster 990,1,unique
991,Cluster 991,63,accessory
992,Cluster 992,63,accessory
993,Cluster 993,2,unique
994,Cluster 994,2,unique
995,Cluster 995,2,unique
996,Cluster 996,1,unique
997,Cluster 997,63,accessory
998,Cluster 998,6,unique
999,Cluster 999,2,unique
1000,Cluster 1000,1,unique
1001,Cluster 1001,63,accessory
1002,Cluster 1002,3,unique
1003,Cluster 1003,63,accessory
1004,Cluster 1004,57,accessory
1005,Cluster 1005,1,unique
1006,Cluster 1006,63,accessory
1007,Cluster 1007,63,accessory
1008,Cluster 1008,30,accessory
1009,Cluster 1009,24,accessory
1010,Cluster 1010,9,unique
1011,Cluster 1011,2,unique
1012,Cluster 1012,1,unique
1013,Cluster 1013,63,accessory
1014,Cluster 1014,63,accessory
1015,Cluster 1015,63,accessory
1016,Cluster 1016,61,accessory
1017,Cluster 1017,4,unique
1018,Cluster 1018,5,unique
1019,Cluster 1019,63,accessory
1020,Cluster 1020,63,accessory
1021,Cluster 1021,11,unique
1022,Cluster 1022,1,unique
1023,Cluster 1023,1,unique
1024,Cluster 1024,1,unique
1025,Cluster 1025,2,unique
1026,Cluster 1026,1,unique
1027,Cluster 1027,63,accessory
1028,Cluster 1028,2,unique
1029,Cluster 1029,4,unique
1030,Cluster 1030,1,unique
1031,Cluster 1031,4,unique
1032,Cluster 1032,3,unique
1033,Cluster 1033,63,accessory
1034,Cluster 1034,63,accessory
1035,Cluster 1035,2,unique
1036,Cluster 1036,2,unique
1037,Cluster 1037,63,accessory
1038,Cluster 1038,61,accessory
1039,Cluster 1039,63,accessory
1040,Cluster 1040,63,accessory
1041,Cluster 1041,5,unique
1042,Cluster 1042,1,unique
1043,Cluster 1043,63,accessory
1044,Cluster 1044,4,unique
1045,Cluster 1045,25,accessory
1046,Cluster 1046,1,unique
1047,Cluster 1047,1,unique
1048,Cluster 1048,10,unique
1049,Cluster 1049,62,accessory
1050,Cluster 1050,6,unique
1051,Cluster 1051,8,unique
1052,Cluster 1052,1,unique
1053,Cluster 1053,1,unique
1054,Cluster 1054,63,accessory
1055,Cluster 1055,63,accessory
1056,Cluster 1056,14,accessory
1057,Cluster 1057,4,unique
1058,Cluster 1058,63,accessory
1059,Cluster 1059,61,accessory
1060,Cluster 1060,63,accessory
1061,Cluster 1061,24,accessory
1062,Cluster 1062,2,unique
1063,Cluster 1063,1,unique
1064,Cluster 1064,1,unique
1065,Cluster 1065,63,accessory
1066,Cluster 1066,2,unique
1067,Cluster 1067,63,accessory
1068,Cluster 1068,57,accessory
1069,Cluster 1069,57,accessory
1070,Cluster 1070,3,unique
1071,Cluster 1071,16,accessory
1072,Cluster 1072,63,accessory
1073,Cluster 1073,63,accessory
1074,Cluster 1074,1,unique
1075,Cluster 1075,4,unique
1076,Cluster 1076,63,accessory
1077,Cluster 1077,30,accessory
1078,Cluster 1078,2,unique
1079,Cluster 1079,14,accessory
1080,Cluster 1080,63,accessory
1081,Cluster 1081,1,unique
1082,Cluster 1082,63,accessory
1083,Cluster 1083,1,unique
1084,Cluster 1084,2,unique
1085,Cluster 1085,3,unique
1086,Cluster 1086,1,unique
1087,Cluster 1087,4,unique
1088,Cluster 1088,3,unique
1089,Cluster 1089,1,unique
1090,Cluster 1090,3,unique
1091,Cluster 1091,2,unique
1092,Cluster 1092,1,unique
1093,Cluster 1093,1,unique
1094,Cluster 1094,63,accessory
1095,Cluster 1095,16,accessory
1096,Cluster 1096,56,accessory
1097,Cluster 1097,25,accessory
1098,Cluster 1098,2,unique
1099,Cluster 1099,1,unique
1100,Cluster 1100,55,accessory
1101,Cluster 1101,63,accessory
1102,Cluster 1102,63,accessory
1103,Cluster 1103,1,unique
1104,Cluster 1104,1,unique
1105,Cluster 1105,63,accessory
1106,Cluster 1106,56,accessory
1107,Cluster 1107,56,accessory
1108,Cluster 1108,21,accessory
1109,Cluster 1109,17,accessory
1110,Cluster 1110,2,unique
1111,Cluster 1111,22,accessory
1112,Cluster 1112,5,unique
1113,Cluster 1113,3,unique
1114,Cluster 1114,63,accessory
1115,Cluster 1115,63,accessory
1116,Cluster 1116,61,accessory
1117,Cluster 1117,8,unique
1118,Cluster 1118,36,accessory
1119,Cluster 1119,1,unique
1120,Cluster 1120,2,unique
1121,Cluster 1121,1,unique
1122,Cluster 1122,63,accessory
1123,Cluster 1123,63,accessory
1124,Cluster 1124,63,accessory
1125,Cluster 1125,26,accessory
1126,Cluster 1126,63,accessory
1127,Cluster 1127,41,accessory
1128,Cluster 1128,16,accessory
1129,Cluster 1129,22,accessory
1130,Cluster 1130,6,unique
1131,Cluster 1131,2,unique
1132,Cluster 1132,8,unique
1133,Cluster 1133,1,unique
1134,Cluster 1134,21,accessory
1135,Cluster 1135,5,unique
1136,Cluster 1136,1,unique
1137,Cluster 1137,1,unique
1138,Cluster 1138,7,unique
1139,Cluster 1139,1,unique
1140,Cluster 1140,1,unique
1141,Cluster 1141,63,accessory
1142,Cluster 1142,36,accessory
1143,Cluster 1143,1,unique
1144,Cluster 1144,32,accessory
1145,Cluster 1145,63,accessory
1146,Cluster 1146,18,accessory
1147,Cluster 1147,1,unique
1148,Cluster 1148,63,accessory
1149,Cluster 1149,40,accessory
1150,Cluster 1150,1,unique
1151,Cluster 1151,1,unique
1152,Cluster 1152,1,unique
1153,Cluster 1153,18,accessory
1154,Cluster 1154,63,accessory
1155,Cluster 1155,63,accessory
1156,Cluster 1156,63,accessory
1157,Cluster 1157,63,accessory
1158,Cluster 1158,63,accessory
1159,Cluster 1159,63,accessory
1160,Cluster 1160,63,accessory
1161,Cluster 1161,7,unique
1162,Cluster 1162,1,unique
1163,Cluster 1163,4,unique
1164,Cluster 1164,3,unique
1165,Cluster 1165,1,unique
1166,Cluster 1166,63,accessory
1167,Cluster 1167,1,unique
1168,Cluster 1168,2,unique
1169,Cluster 1169,62,accessory
1170,Cluster 1170,39,accessory
1171,Cluster 1171,62,accessory
1172,Cluster 1172,54,accessory
1173,Cluster 1173,1,unique
1174,Cluster 1174,63,accessory
1175,Cluster 1175,7,unique
1176,Cluster 1176,1,unique
1177,Cluster 1177,62,accessory
1178,Cluster 1178,63,accessory
1179,Cluster 1179,1,unique
1180,Cluster 1180,2,unique
1181,Cluster 1181,63,accessory
1182,Cluster 1182,38,accessory
1183,Cluster 1183,60,accessory
1184,Cluster 1184,63,accessory
1185,Cluster 1185,2,unique
1186,Cluster 1186,63,accessory
1187,Cluster 1187,63,accessory
1188,Cluster 1188,3,unique
1189,Cluster 1189,1,unique
1190,Cluster 1190,5,unique
1191,Cluster 1191,5,unique
1192,Cluster 1192,7,unique
1193,Cluster 1193,7,unique
1194,Cluster 1194,1,unique
1195,Cluster 1195,1,unique
1196,Cluster 1196,63,accessory
1197,Cluster 1197,15,accessory
1198,Cluster 1198,1,unique
1199,Cluster 1199,60,accessory
1200,Cluster 1200,1,unique
1201,Cluster 1201,63,accessory
1202,Cluster 1202,63,accessory
1203,Cluster 1203,1,unique
1204,Cluster 1204,8,unique
1205,Cluster 1205,3,unique
1206,Cluster 1206,1,unique
1207,Cluster 1207,63,accessory
1208,Cluster 1208,63,accessory
1209,Cluster 1209,63,accessory
1210,Cluster 1210,63,accessory
1211,Cluster 1211,14,accessory
1212,Cluster 1212,3,unique
1213,Cluster 1213,1,unique
1214,Cluster 1214,3,unique
1215,Cluster 1215,2,unique
1216,Cluster 1216,63,accessory
1217,Cluster 1217,56,accessory
1218,Cluster 1218,8,unique
1219,Cluster 1219,5,unique
1220,Cluster 1220,4,unique
1221,Cluster 1221,63,accessory
1222,Cluster 1222,63,accessory
1223,Cluster 1223,3,unique
1224,Cluster 1224,3,unique
1225,Cluster 1225,63,accessory
1226,Cluster 1226,57,accessory
1227,Cluster 1227,1,unique
1228,Cluster 1228,61,accessory
1229,Cluster 1229,5,unique
1230,Cluster 1230,63,accessory
1231,Cluster 1231,63,accessory
1232,Cluster 1232,35,accessory
1233,Cluster 1233,1,unique
1234,Cluster 1234,1,unique
1235,Cluster 1235,1,unique
1236,Cluster 1236,54,accessory
1237,Cluster 1237,59,accessory
1238,Cluster 1238,60,accessory
1239,Cluster 1239,2,unique
1240,Cluster 1240,2,unique
1241,Cluster 1241,14,accessory
1242,Cluster 1242,5,unique
1243,Cluster 1243,1,unique
1244,Cluster 1244,63,accessory
1245,Cluster 1245,54,accessory
1246,Cluster 1246,60,accessory
1247,Cluster 1247,1,unique
1248,Cluster 1248,14,accessory
1249,Cluster 1249,5,unique
1250,Cluster 1250,4,unique
1251,Cluster 1251,40,accessory
1252,Cluster 1252,63,accessory
1253,Cluster 1253,61,accessory
1254,Cluster 1254,3,unique
1255,Cluster 1255,8,unique
1256,Cluster 1256,2,unique
1257,Cluster 1257,4,unique
1258,Cluster 1258,63,accessory
1259,Cluster 1259,24,accessory
1260,Cluster 1260,63,accessory
1261,Cluster 1261,7,unique
1262,Cluster 1262,1,unique
1263,Cluster 1263,63,accessory
1264,Cluster 1264,42,accessory
1265,Cluster 1265,3,unique
1266,Cluster 1266,63,accessory
1267,Cluster 1267,60,accessory
1268,Cluster 1268,1,unique
1269,Cluster 1269,5,unique
1270,Cluster 1270,10,unique
1271,Cluster 1271,1,unique
1272,Cluster 1272,51,accessory
1273,Cluster 1273,62,accessory
1274,Cluster 1274,63,accessory
1275,Cluster 1275,66,accessory
1276,Cluster 1276,4,unique
1277,Cluster 1277,5,unique
1278,Cluster 1278,1,unique
1279,Cluster 1279,9,unique
1280,Cluster 1280,59,accessory
1281,Cluster 1281,63,accessory
1282,Cluster 1282,63,accessory
1283,Cluster 1283,63,accessory
1284,Cluster 1284,19,accessory
1285,Cluster 1285,6,unique
1286,Cluster 1286,2,unique
1287,Cluster 1287,63,accessory
1288,Cluster 1288,63,accessory
1289,Cluster 1289,57,accessory
1290,Cluster 1290,63,accessory
1291,Cluster 1291,63,accessory
1292,Cluster 1292,4,unique
1293,Cluster 1293,3,unique
1294,Cluster 1294,63,accessory
1295,Cluster 1295,1,unique
1296,Cluster 1296,63,accessory
1297,Cluster 1297,54,accessory
1298,Cluster 1298,63,accessory
1299,Cluster 1299,63,accessory
1300,Cluster 1300,63,accessory
1301,Cluster 1301,2,unique
1302,Cluster 1302,2,unique
1303,Cluster 1303,63,accessory
1304,Cluster 1304,63,accessory
1305,Cluster 1305,16,accessory
1306,Cluster 1306,62,accessory
1307,Cluster 1307,16,accessory
1308,Cluster 1308,62,accessory
1309,Cluster 1309,2,unique
1310,Cluster 1310,26,accessory
1311,Cluster 1311,1,unique
1312,Cluster 1312,1,unique
1313,Cluster 1313,1,unique
1314,Cluster 1314,2,unique
1315,Cluster 1315,63,accessory
1316,Cluster 1316,63,accessory
1317,Cluster 1317,63,accessory
1318,Cluster 1318,63,accessory
1319,Cluster 1319,2,unique
1320,Cluster 1320,63,accessory
1321,Cluster 1321,1,unique
1322,Cluster 1322,63,accessory
1323,Cluster 1323,63,accessory
1324,Cluster 1324,66,accessory
1325,Cluster 1325,60,accessory
1326,Cluster 1326,63,accessory
1327,Cluster 1327,63,accessory
1328,Cluster 1328,22,accessory
1329,Cluster 1329,2,unique
1330,Cluster 1330,2,unique
1331,Cluster 1331,62,accessory
1332,Cluster 1332,62,accessory
1333,Cluster 1333,63,accessory
1334,Cluster 1334,63,accessory
1335,Cluster 1335,63,accessory
1336,Cluster 1336,4,unique
1337,Cluster 1337,1,unique
1338,Cluster 1338,1,unique
1339,Cluster 1339,63,accessory
1340,Cluster 1340,43,accessory
1341,Cluster 1341,63,accessory
1342,Cluster 1342,63,accessory
1343,Cluster 1343,15,accessory
1344,Cluster 1344,1,unique
1345,Cluster 1345,63,accessory
1346,Cluster 1346,25,accessory
1347,Cluster 1347,19,accessory
1348,Cluster 1348,1,unique
1349,Cluster 1349,1,unique
1350,Cluster 1350,2,unique
1351,Cluster 1351,5,unique
1352,Cluster 1352,63,accessory
1353,Cluster 1353,63,accessory
1354,Cluster 1354,1,unique
1355,Cluster 1355,1,unique
1356,Cluster 1356,1,unique
1357,Cluster 1357,63,accessory
1358,Cluster 1358,55,accessory
1359,Cluster 1359,62,accessory
1360,Cluster 1360,56,accessory
1361,Cluster 1361,58,accessory
1362,Cluster 1362,1,unique
1363,Cluster 1363,63,accessory
1364,Cluster 1364,63,accessory
1365,Cluster 1365,35,accessory
1366,Cluster 1366,18,accessory
1367,Cluster 1367,1,unique
1368,Cluster 1368,1,unique
1369,Cluster 1369,1,unique
1370,Cluster 1370,12,unique
1371,Cluster 1371,17,accessory
1372,Cluster 1372,14,accessory
1373,Cluster 1373,8,unique
1374,Cluster 1374,4,unique
1375,Cluster 1375,6,unique
1376,Cluster 1376,38,accessory
1377,Cluster 1377,63,accessory
1378,Cluster 1378,41,accessory
1379,Cluster 1379,1,unique
1380,Cluster 1380,63,accessory
1381,Cluster 1381,2,unique
1382,Cluster 1382,1,unique
1383,Cluster 1383,1,unique
1384,Cluster 1384,37,accessory
1385,Cluster 1385,63,accessory
1386,Cluster 1386,63,accessory
1387,Cluster 1387,2,unique
1388,Cluster 1388,1,unique
1389,Cluster 1389,20,accessory
1390,Cluster 1390,61,accessory
1391,Cluster 1391,3,unique
1392,Cluster 1392,8,unique
1393,Cluster 1393,1,unique
1394,Cluster 1394,58,accessory
1395,Cluster 1395,63,accessory
1396,Cluster 1396,30,accessory
1397,Cluster 1397,2,unique
1398,Cluster 1398,5,unique
1399,Cluster 1399,3,unique
1400,Cluster 1400,32,accessory
1401,Cluster 1401,38,accessory
1402,Cluster 1402,63,accessory
1403,Cluster 1403,16,accessory
1404,Cluster 1404,2,unique
1405,Cluster 1405,41,accessory
1406,Cluster 1406,1,unique
1407,Cluster 1407,3,unique
1408,Cluster 1408,42,accessory
1409,Cluster 1409,4,unique
1410,Cluster 1410,2,unique
1411,Cluster 1411,1,unique
1412,Cluster 1412,63,accessory
1413,Cluster 1413,63,accessory
1414,Cluster 1414,20,accessory
1415,Cluster 1415,63,accessory
1416,Cluster 1416,63,accessory
1417,Cluster 1417,23,accessory
1418,Cluster 1418,7,unique
1419,Cluster 1419,1,unique
1420,Cluster 1420,1,unique
1421,Cluster 1421,63,accessory
1422,Cluster 1422,29,accessory
1423,Cluster 1423,36,accessory
1424,Cluster 1424,1,unique
1425,Cluster 1425,7,unique
1426,Cluster 1426,1,unique
1427,Cluster 1427,34,accessory
1428,Cluster 1428,2,unique
1429,Cluster 1429,63,accessory
1430,Cluster 1430,15,accessory
1431,Cluster 1431,6,unique
1432,Cluster 1432,63,accessory
1433,Cluster 1433,1,unique
1434,Cluster 1434,1,unique
1435,Cluster 1435,1,unique
1436,Cluster 1436,1,unique
1437,Cluster 1437,53,accessory
1438,Cluster 1438,59,accessory
1439,Cluster 1439,7,unique
1440,Cluster 1440,16,accessory
1441,Cluster 1441,2,unique
1442,Cluster 1442,2,unique
1443,Cluster 1443,63,accessory
1444,Cluster 1444,2,unique
1445,Cluster 1445,1,unique
1446,Cluster 1446,36,accessory
1447,Cluster 1447,11,unique
1448,Cluster 1448,34,accessory
1449,Cluster 1449,63,accessory
1450,Cluster 1450,57,accessory
1451,Cluster 1451,1,unique
1452,Cluster 1452,1,unique
1453,Cluster 1453,2,unique
1454,Cluster 1454,2,unique
1455,Cluster 1455,1,unique
1456,Cluster 1456,63,accessory
1457,Cluster 1457,3,unique
1458,Cluster 1458,15,accessory
1459,Cluster 1459,31,accessory
1460,Cluster 1460,3,unique
1461,Cluster 1461,1,unique
1462,Cluster 1462,6,unique
1463,Cluster 1463,1,unique
1464,Cluster 1464,63,accessory
1465,Cluster 1465,13,unique
1466,Cluster 1466,63,accessory
1467,Cluster 1467,1,unique
1468,Cluster 1468,20,accessory
1469,Cluster 1469,22,accessory
1470,Cluster 1470,6,unique
1471,Cluster 1471,5,unique
1472,Cluster 1472,7,unique
1473,Cluster 1473,6,unique
1474,Cluster 1474,1,unique
1475,Cluster 1475,63,accessory
1476,Cluster 1476,2,unique
1477,Cluster 1477,25,accessory
1478,Cluster 1478,1,unique
1479,Cluster 1479,4,unique
1480,Cluster 1480,18,accessory
1481,Cluster 1481,1,unique
1482,Cluster 1482,1,unique
1483,Cluster 1483,2,unique
1484,Cluster 1484,1,unique
1485,Cluster 1485,20,accessory
1486,Cluster 1486,2,unique
1487,Cluster 1487,63,accessory
1488,Cluster 1488,11,unique
1489,Cluster 1489,5,unique
1490,Cluster 1490,60,accessory
1491,Cluster 1491,28,accessory
1492,Cluster 1492,2,unique
1493,Cluster 1493,1,unique
1494,Cluster 1494,63,accessory
1495,Cluster 1495,63,accessory
1496,Cluster 1496,63,accessory
1497,Cluster 1497,63,accessory
1498,Cluster 1498,22,accessory
1499,Cluster 1499,9,unique
1500,Cluster 1500,8,unique
1501,Cluster 1501,5,unique
1502,Cluster 1502,5,unique
1503,Cluster 1503,1,unique
1504,Cluster 1504,63,accessory
1505,Cluster 1505,36,accessory
1506,Cluster 1506,41,accessory
1507,Cluster 1507,7,unique
1508,Cluster 1508,15,accessory
1509,Cluster 1509,62,accessory
1510,Cluster 1510,1,unique
1511,Cluster 1511,1,unique
1512,Cluster 1512,63,accessory
1513,Cluster 1513,63,accessory
1514,Cluster 1514,38,accessory
1515,Cluster 1515,63,accessory
1516,Cluster 1516,6,unique
1517,Cluster 1517,1,unique
1518,Cluster 1518,8,unique
1519,Cluster 1519,4,unique
1520,Cluster 1520,5,unique
1521,Cluster 1521,1,unique
1522,Cluster 1522,57,accessory
1523,Cluster 1523,63,accessory
1524,Cluster 1524,3,unique
1525,Cluster 1525,2,unique
1526,Cluster 1526,63,accessory
1527,Cluster 1527,63,accessory
1528,Cluster 1528,63,accessory
1529,Cluster 1529,63,accessory
1530,Cluster 1530,23,accessory
1531,Cluster 1531,1,unique
1532,Cluster 1532,1,unique
1533,Cluster 1533,63,accessory
1534,Cluster 1534,63,accessory
1535,Cluster 1535,63,accessory
1536,Cluster 1536,63,accessory
1537,Cluster 1537,63,accessory
1538,Cluster 1538,32,accessory
1539,Cluster 1539,31,accessory
1540,Cluster 1540,12,unique
1541,Cluster 1541,5,unique
1542,Cluster 1542,63,accessory
1543,Cluster 1543,1,unique
1544,Cluster 1544,2,unique
1545,Cluster 1545,1,unique
1546,Cluster 1546,63,accessory
1547,Cluster 1547,63,accessory
1548,Cluster 1548,63,accessory
1549,Cluster 1549,61,accessory
1550,Cluster 1550,63,accessory
1551,Cluster 1551,62,accessory
1552,Cluster 1552,26,accessory
1553,Cluster 1553,6,unique
1554,Cluster 1554,4,unique
1555,Cluster 1555,1,unique
1556,Cluster 1556,63,accessory
1557,Cluster 1557,62,accessory
1558,Cluster 1558,63,accessory
1559,Cluster 1559,31,accessory
1560,Cluster 1560,1,unique
1561,Cluster 1561,12,unique
1562,Cluster 1562,1,unique
1563,Cluster 1563,1,unique
1564,Cluster 1564,1,unique
1565,Cluster 1565,63,accessory
1566,Cluster 1566,63,accessory
1567,Cluster 1567,63,accessory
1568,Cluster 1568,63,accessory
1569,Cluster 1569,48,accessory
1570,Cluster 1570,7,unique
1571,Cluster 1571,3,unique
1572,Cluster 1572,1,unique
1573,Cluster 1573,2,unique
1574,Cluster 1574,1,unique
1575,Cluster 1575,2,unique
1576,Cluster 1576,1,unique
1577,Cluster 1577,63,accessory
1578,Cluster 1578,63,accessory
1579,Cluster 1579,7,unique
1580,Cluster 1580,1,unique
1581,Cluster 1581,37,accessory
1582,Cluster 1582,7,unique
1583,Cluster 1583,59,accessory
1584,Cluster 1584,9,unique
1585,Cluster 1585,9,unique
1586,Cluster 1586,4,unique
1587,Cluster 1587,8,unique
1588,Cluster 1588,1,unique
1589,Cluster 1589,36,accessory
1590,Cluster 1590,45,accessory
1591,Cluster 1591,3,unique
1592,Cluster 1592,1,unique
1593,Cluster 1593,2,unique
1594,Cluster 1594,63,accessory
1595,Cluster 1595,63,accessory
1596,Cluster 1596,61,accessory
1597,Cluster 1597,9,unique
1598,Cluster 1598,23,accessory
1599,Cluster 1599,63,accessory
1600,Cluster 1600,2,unique
1601,Cluster 1601,1,unique
1602,Cluster 1602,5,unique
1603,Cluster 1603,1,unique
1604,Cluster 1604,63,accessory
1605,Cluster 1605,62,accessory
1606,Cluster 1606,17,accessory
1607,Cluster 1607,69,accessory
1608,Cluster 1608,56,accessory
1609,Cluster 1609,16,accessory
1610,Cluster 1610,31,accessory
1611,Cluster 1611,5,unique
1612,Cluster 1612,1,unique
1613,Cluster 1613,1,unique
1614,Cluster 1614,1,unique
1615,Cluster 1615,63,accessory
1616,Cluster 1616,63,accessory
1617,Cluster 1617,63,accessory
1618,Cluster 1618,4,unique
1619,Cluster 1619,1,unique
1620,Cluster 1620,63,accessory
1621,Cluster 1621,30,accessory
1622,Cluster 1622,63,accessory
1623,Cluster 1623,63,accessory
1624,Cluster 1624,63,accessory
1625,Cluster 1625,8,unique
1626,Cluster 1626,11,unique
1627,Cluster 1627,26,accessory
1628,Cluster 1628,25,accessory
1629,Cluster 1629,19,accessory
1630,Cluster 1630,2,unique
1631,Cluster 1631,1,unique
1632,Cluster 1632,5,unique
1633,Cluster 1633,30,accessory
1634,Cluster 1634,63,accessory
