, ,Number of genomes
3857,Cluster 3857,5
3858,Cluster 3858,7
3859,Cluster 3859,1
3860,Cluster 3860,1
3861,Cluster 3861,5
3862,Cluster 3862,6
3863,Cluster 3863,2
3864,Cluster 3864,5
3865,Cluster 3865,1
3866,Cluster 3866,3
3867,Cluster 3867,1
3868,Cluster 3868,3
3869,Cluster 3869,1
3870,Cluster 3870,1
3871,Cluster 3871,1
3872,Cluster 3872,1
3873,Cluster 3873,61
3874,Cluster 3874,63
3875,Cluster 3875,59
3876,Cluster 3876,63
3877,Cluster 3877,63
3878,Cluster 3878,63
3879,Cluster 3879,8
3880,Cluster 3880,61
3881,Cluster 3881,3
3882,Cluster 3882,23
3883,Cluster 3883,25
3884,Cluster 3884,3
3885,Cluster 3885,1
3886,Cluster 3886,1
3887,Cluster 3887,5
3888,Cluster 3888,2
3889,Cluster 3889,1
3890,Cluster 3890,1
3891,Cluster 3891,60
3892,Cluster 3892,63
3893,Cluster 3893,63
3894,Cluster 3894,63
3895,Cluster 3895,63
3896,Cluster 3896,63
3897,Cluster 3897,62
3898,Cluster 3898,63
3899,Cluster 3899,11
3900,Cluster 3900,63
3901,Cluster 3901,63
3902,Cluster 3902,19
3903,Cluster 3903,4
3904,Cluster 3904,14
3905,Cluster 3905,5
3906,Cluster 3906,32
3907,Cluster 3907,1
3908,Cluster 3908,2
3909,Cluster 3909,5
3910,Cluster 3910,5
3911,Cluster 3911,4
3912,Cluster 3912,3
3913,Cluster 3913,6
3914,Cluster 3914,1
3915,Cluster 3915,1
3916,Cluster 3916,2
3917,Cluster 3917,63
3918,Cluster 3918,63
3919,Cluster 3919,63
3920,Cluster 3920,63
3921,Cluster 3921,63
3922,Cluster 3922,38
3923,Cluster 3923,63
3924,Cluster 3924,6
3925,Cluster 3925,1
3926,Cluster 3926,1
3927,Cluster 3927,17
3928,Cluster 3928,1
3929,Cluster 3929,1
3930,Cluster 3930,3
3931,Cluster 3931,1
3932,Cluster 3932,1
3933,Cluster 3933,3
3934,Cluster 3934,1
3935,Cluster 3935,2
3936,Cluster 3936,1
3937,Cluster 3937,1
3938,Cluster 3938,57
3939,Cluster 3939,63
3940,Cluster 3940,63
3941,Cluster 3941,61
3942,Cluster 3942,40
3943,Cluster 3943,61
3944,Cluster 3944,62
3945,Cluster 3945,20
3946,Cluster 3946,15
3947,Cluster 3947,7
3948,Cluster 3948,1
3949,Cluster 3949,4
3950,Cluster 3950,21
3951,Cluster 3951,5
3952,Cluster 3952,9
3953,Cluster 3953,1
3954,Cluster 3954,1
3955,Cluster 3955,1
3956,Cluster 3956,1
3957,Cluster 3957,2
3958,Cluster 3958,3
3959,Cluster 3959,1
3960,Cluster 3960,5
3961,Cluster 3961,3
3962,Cluster 3962,1
3963,Cluster 3963,1
3964,Cluster 3964,63
3965,Cluster 3965,63
3966,Cluster 3966,63
3967,Cluster 3967,63
3968,Cluster 3968,26
3969,Cluster 3969,63
3970,Cluster 3970,8
3971,Cluster 3971,63
3972,Cluster 3972,10
3973,Cluster 3973,3
3974,Cluster 3974,7
3975,Cluster 3975,2
3976,Cluster 3976,7
3977,Cluster 3977,12
3978,Cluster 3978,2
3979,Cluster 3979,5
3980,Cluster 3980,1
3981,Cluster 3981,1
3982,Cluster 3982,1
3983,Cluster 3983,4
3984,Cluster 3984,1
3985,Cluster 3985,1
3986,Cluster 3986,1
3987,Cluster 3987,1
3988,Cluster 3988,1
3989,Cluster 3989,1
3990,Cluster 3990,1
3991,Cluster 3991,63
3992,Cluster 3992,63
3993,Cluster 3993,34
3994,Cluster 3994,28
3995,Cluster 3995,41
3996,Cluster 3996,7
3997,Cluster 3997,63
3998,Cluster 3998,63
3999,Cluster 3999,31
4000,Cluster 4000,1
4001,Cluster 4001,5
4002,Cluster 4002,7
4003,Cluster 4003,1
4004,Cluster 4004,1
4005,Cluster 4005,2
4006,Cluster 4006,1
4007,Cluster 4007,1
4008,Cluster 4008,1
4009,Cluster 4009,2
4010,Cluster 4010,1
4011,Cluster 4011,5
4012,Cluster 4012,1
4013,Cluster 4013,3
4014,Cluster 4014,2
4015,Cluster 4015,63
4016,Cluster 4016,63
4017,Cluster 4017,63
4018,Cluster 4018,63
4019,Cluster 4019,62
4020,Cluster 4020,63
4021,Cluster 4021,41
4022,Cluster 4022,63
4023,Cluster 4023,1
4024,Cluster 4024,63
4025,Cluster 4025,63
4026,Cluster 4026,19
4027,Cluster 4027,6
4028,Cluster 4028,2
4029,Cluster 4029,3
4030,Cluster 4030,4
4031,Cluster 4031,8
4032,Cluster 4032,3
4033,Cluster 4033,1
4034,Cluster 4034,2
4035,Cluster 4035,1
4036,Cluster 4036,1
4037,Cluster 4037,8
4038,Cluster 4038,45
4039,Cluster 4039,38
4040,Cluster 4040,41
4041,Cluster 4041,63
4042,Cluster 4042,63
4043,Cluster 4043,63
4044,Cluster 4044,63
4045,Cluster 4045,63
4046,Cluster 4046,18
4047,Cluster 4047,9
4048,Cluster 4048,21
4049,Cluster 4049,1
4050,Cluster 4050,20
4051,Cluster 4051,2
4052,Cluster 4052,4
4053,Cluster 4053,5
4054,Cluster 4054,2
4055,Cluster 4055,1
4056,Cluster 4056,4
4057,Cluster 4057,1
4058,Cluster 4058,1
4059,Cluster 4059,58
4060,Cluster 4060,11
4061,Cluster 4061,63
4062,Cluster 4062,63
4063,Cluster 4063,7
4064,Cluster 4064,63
4065,Cluster 4065,63
4066,Cluster 4066,7
4067,Cluster 4067,30
4068,Cluster 4068,1
4069,Cluster 4069,1
4070,Cluster 4070,2
4071,Cluster 4071,63
4072,Cluster 4072,1
4073,Cluster 4073,4
4074,Cluster 4074,2
4075,Cluster 4075,2
4076,Cluster 4076,1
4077,Cluster 4077,1
4078,Cluster 4078,3
4079,Cluster 4079,1
4080,Cluster 4080,63
4081,Cluster 4081,63
4082,Cluster 4082,63
4083,Cluster 4083,63
4084,Cluster 4084,62
4085,Cluster 4085,63
4086,Cluster 4086,11
4087,Cluster 4087,6
4088,Cluster 4088,43
4089,Cluster 4089,28
4090,Cluster 4090,30
4091,Cluster 4091,15
4092,Cluster 4092,6
4093,Cluster 4093,19
4094,Cluster 4094,32
4095,Cluster 4095,15
4096,Cluster 4096,1
4097,Cluster 4097,10
4098,Cluster 4098,2
4099,Cluster 4099,1
4100,Cluster 4100,63
4101,Cluster 4101,63
4102,Cluster 4102,63
4103,Cluster 4103,51
4104,Cluster 4104,43
4105,Cluster 4105,63
4106,Cluster 4106,63
4107,Cluster 4107,63
4108,Cluster 4108,63
4109,Cluster 4109,1
4110,Cluster 4110,63
4111,Cluster 4111,31
4112,Cluster 4112,21
4113,Cluster 4113,16
4114,Cluster 4114,5
4115,Cluster 4115,1
4116,Cluster 4116,12
4117,Cluster 4117,4
4118,Cluster 4118,5
4119,Cluster 4119,2
4120,Cluster 4120,1
4121,Cluster 4121,63
4122,Cluster 4122,1
4123,Cluster 4123,6
4124,Cluster 4124,1
4125,Cluster 4125,18
4126,Cluster 4126,1
4127,Cluster 4127,1
4128,Cluster 4128,7
4129,Cluster 4129,2
4130,Cluster 4130,63
4131,Cluster 4131,1
4132,Cluster 4132,1
4133,Cluster 4133,1
4134,Cluster 4134,1
4135,Cluster 4135,63
4136,Cluster 4136,63
4137,Cluster 4137,63
4138,Cluster 4138,63
4139,Cluster 4139,63
4140,Cluster 4140,9
4141,Cluster 4141,19
4142,Cluster 4142,18
4143,Cluster 4143,31
4144,Cluster 4144,22
4145,Cluster 4145,19
4146,Cluster 4146,2
4147,Cluster 4147,7
4148,Cluster 4148,1
4149,Cluster 4149,6
4150,Cluster 4150,5
4151,Cluster 4151,24
4152,Cluster 4152,1
4153,Cluster 4153,1
4154,Cluster 4154,3
4155,Cluster 4155,1
4156,Cluster 4156,1
4157,Cluster 4157,1
4158,Cluster 4158,63
4159,Cluster 4159,2
4160,Cluster 4160,63
4161,Cluster 4161,62
4162,Cluster 4162,35
4163,Cluster 4163,19
4164,Cluster 4164,31
4165,Cluster 4165,1
4166,Cluster 4166,5
4167,Cluster 4167,63
4168,Cluster 4168,5
4169,Cluster 4169,2
4170,Cluster 4170,2
4171,Cluster 4171,2
4172,Cluster 4172,2
4173,Cluster 4173,2
4174,Cluster 4174,1
4175,Cluster 4175,1
4176,Cluster 4176,2
4177,Cluster 4177,3
4178,Cluster 4178,1
4179,Cluster 4179,63
4180,Cluster 4180,63
4181,Cluster 4181,34
4182,Cluster 4182,63
4183,Cluster 4183,57
4184,Cluster 4184,63
4185,Cluster 4185,63
4186,Cluster 4186,63
4187,Cluster 4187,63
4188,Cluster 4188,63
4189,Cluster 4189,10
4190,Cluster 4190,9
4191,Cluster 4191,29
4192,Cluster 4192,15
4193,Cluster 4193,19
4194,Cluster 4194,28
4195,Cluster 4195,2
4196,Cluster 4196,2
4197,Cluster 4197,1
4198,Cluster 4198,3
4199,Cluster 4199,3
4200,Cluster 4200,4
4201,Cluster 4201,5
4202,Cluster 4202,1
4203,Cluster 4203,1
4204,Cluster 4204,1
4205,Cluster 4205,1
4206,Cluster 4206,63
4207,Cluster 4207,63
4208,Cluster 4208,48
4209,Cluster 4209,9
4210,Cluster 4210,7
4211,Cluster 4211,3
4212,Cluster 4212,3
4213,Cluster 4213,1
4214,Cluster 4214,1
4215,Cluster 4215,1
4216,Cluster 4216,54
4217,Cluster 4217,63
4218,Cluster 4218,63
4219,Cluster 4219,63
4220,Cluster 4220,63
4221,Cluster 4221,63
4222,Cluster 4222,11
4223,Cluster 4223,53
4224,Cluster 4224,26
4225,Cluster 4225,63
4226,Cluster 4226,57
4227,Cluster 4227,6
4228,Cluster 4228,62
4229,Cluster 4229,2
4230,Cluster 4230,2
4231,Cluster 4231,7
4232,Cluster 4232,4
4233,Cluster 4233,1
4234,Cluster 4234,5
4235,Cluster 4235,1
4236,Cluster 4236,1
4237,Cluster 4237,63
4238,Cluster 4238,63
4239,Cluster 4239,63
4240,Cluster 4240,63
4241,Cluster 4241,63
4242,Cluster 4242,38
4243,Cluster 4243,57
4244,Cluster 4244,63
4245,Cluster 4245,63
4246,Cluster 4246,27
4247,Cluster 4247,63
4248,Cluster 4248,8
4249,Cluster 4249,2
4250,Cluster 4250,4
4251,Cluster 4251,63
4252,Cluster 4252,18
4253,Cluster 4253,3
4254,Cluster 4254,4
4255,Cluster 4255,2
4256,Cluster 4256,1
4257,Cluster 4257,1
4258,Cluster 4258,1
4259,Cluster 4259,1
4260,Cluster 4260,5
4261,Cluster 4261,5
4262,Cluster 4262,1
4263,Cluster 4263,12
4264,Cluster 4264,1
4265,Cluster 4265,1
4266,Cluster 4266,7
4267,Cluster 4267,63
4268,Cluster 4268,63
4269,Cluster 4269,38
4270,Cluster 4270,63
4271,Cluster 4271,63
4272,Cluster 4272,63
4273,Cluster 4273,63
4274,Cluster 4274,55
4275,Cluster 4275,63
4276,Cluster 4276,63
4277,Cluster 4277,1
4278,Cluster 4278,21
4279,Cluster 4279,10
4280,Cluster 4280,63
4281,Cluster 4281,7
4282,Cluster 4282,1
4283,Cluster 4283,27
4284,Cluster 4284,4
4285,Cluster 4285,2
4286,Cluster 4286,2
4287,Cluster 4287,3
4288,Cluster 4288,1
4289,Cluster 4289,2
4290,Cluster 4290,6
4291,Cluster 4291,1
4292,Cluster 4292,3
4293,Cluster 4293,1
4294,Cluster 4294,63
4295,Cluster 4295,63
4296,Cluster 4296,39
4297,Cluster 4297,63
4298,Cluster 4298,63
4299,Cluster 4299,63
4300,Cluster 4300,63
4301,Cluster 4301,63
4302,Cluster 4302,7
4303,Cluster 4303,2
4304,Cluster 4304,27
4305,Cluster 4305,2
4306,Cluster 4306,16
4307,Cluster 4307,2
4308,Cluster 4308,1
4309,Cluster 4309,1
4310,Cluster 4310,63
4311,Cluster 4311,1
4312,Cluster 4312,6
4313,Cluster 4313,1
4314,Cluster 4314,63
4315,Cluster 4315,63
4316,Cluster 4316,63
4317,Cluster 4317,63
4318,Cluster 4318,63
4319,Cluster 4319,63
4320,Cluster 4320,63
4321,Cluster 4321,12
4322,Cluster 4322,36
4323,Cluster 4323,7
4324,Cluster 4324,35
4325,Cluster 4325,63
4326,Cluster 4326,63
4327,Cluster 4327,63
4328,Cluster 4328,62
4329,Cluster 4329,1
4330,Cluster 4330,18
4331,Cluster 4331,30
4332,Cluster 4332,25
4333,Cluster 4333,22
4334,Cluster 4334,22
4335,Cluster 4335,1
4336,Cluster 4336,74
4337,Cluster 4337,5
4338,Cluster 4338,15
4339,Cluster 4339,5
4340,Cluster 4340,4
4341,Cluster 4341,4
4342,Cluster 4342,7
4343,Cluster 4343,3
4344,Cluster 4344,62
4345,Cluster 4345,1
4346,Cluster 4346,1
4347,Cluster 4347,7
4348,Cluster 4348,1
4349,Cluster 4349,1
4350,Cluster 4350,12
4351,Cluster 4351,61
4352,Cluster 4352,63
4353,Cluster 4353,63
4354,Cluster 4354,11
4355,Cluster 4355,63
4356,Cluster 4356,63
4357,Cluster 4357,40
4358,Cluster 4358,63
4359,Cluster 4359,63
4360,Cluster 4360,63
4361,Cluster 4361,1
4362,Cluster 4362,46
4363,Cluster 4363,1
4364,Cluster 4364,29
4365,Cluster 4365,32
4366,Cluster 4366,18
4367,Cluster 4367,15
4368,Cluster 4368,1
4369,Cluster 4369,1
4370,Cluster 4370,1
4371,Cluster 4371,2
4372,Cluster 4372,2
4373,Cluster 4373,1
4374,Cluster 4374,1
4375,Cluster 4375,59
4376,Cluster 4376,63
4377,Cluster 4377,63
4378,Cluster 4378,63
4379,Cluster 4379,63
4380,Cluster 4380,41
4381,Cluster 4381,63
4382,Cluster 4382,32
4383,Cluster 4383,17
4384,Cluster 4384,47
4385,Cluster 4385,12
4386,Cluster 4386,63
4387,Cluster 4387,2
4388,Cluster 4388,22
4389,Cluster 4389,6
4390,Cluster 4390,1
4391,Cluster 4391,5
4392,Cluster 4392,12
4393,Cluster 4393,4
4394,Cluster 4394,44
4395,Cluster 4395,2
4396,Cluster 4396,2
4397,Cluster 4397,2
4398,Cluster 4398,2
4399,Cluster 4399,3
4400,Cluster 4400,3
4401,Cluster 4401,2
4402,Cluster 4402,1
4403,Cluster 4403,2
4404,Cluster 4404,63
4405,Cluster 4405,23
4406,Cluster 4406,63
4407,Cluster 4407,63
4408,Cluster 4408,63
4409,Cluster 4409,63
4410,Cluster 4410,63
4411,Cluster 4411,63
4412,Cluster 4412,52
4413,Cluster 4413,44
4414,Cluster 4414,28
4415,Cluster 4415,1
4416,Cluster 4416,22
4417,Cluster 4417,7
4418,Cluster 4418,2
4419,Cluster 4419,4
4420,Cluster 4420,63
4421,Cluster 4421,9
4422,Cluster 4422,3
4423,Cluster 4423,2
4424,Cluster 4424,5
4425,Cluster 4425,2
4426,Cluster 4426,1
4427,Cluster 4427,63
4428,Cluster 4428,63
4429,Cluster 4429,63
4430,Cluster 4430,63
4431,Cluster 4431,63
4432,Cluster 4432,28
4433,Cluster 4433,63
4434,Cluster 4434,12
4435,Cluster 4435,1
4436,Cluster 4436,28
4437,Cluster 4437,63
4438,Cluster 4438,2
4439,Cluster 4439,1
4440,Cluster 4440,3
4441,Cluster 4441,1
4442,Cluster 4442,51
4443,Cluster 4443,1
4444,Cluster 4444,2
4445,Cluster 4445,1
4446,Cluster 4446,1
4447,Cluster 4447,63
4448,Cluster 4448,63
4449,Cluster 4449,63
4450,Cluster 4450,63
4451,Cluster 4451,63
4452,Cluster 4452,12
4453,Cluster 4453,63
4454,Cluster 4454,16
4455,Cluster 4455,61
4456,Cluster 4456,63
4457,Cluster 4457,44
4458,Cluster 4458,12
4459,Cluster 4459,2
4460,Cluster 4460,3
4461,Cluster 4461,13
4462,Cluster 4462,5
4463,Cluster 4463,3
4464,Cluster 4464,14
4465,Cluster 4465,63
4466,Cluster 4466,1
4467,Cluster 4467,1
4468,Cluster 4468,1
4469,Cluster 4469,2
4470,Cluster 4470,3
4471,Cluster 4471,1
4472,Cluster 4472,6
4473,Cluster 4473,63
4474,Cluster 4474,63
4475,Cluster 4475,63
4476,Cluster 4476,63
4477,Cluster 4477,63
4478,Cluster 4478,47
4479,Cluster 4479,8
4480,Cluster 4480,6
4481,Cluster 4481,21
4482,Cluster 4482,8
4483,Cluster 4483,63
4484,Cluster 4484,6
4485,Cluster 4485,1
4486,Cluster 4486,35
4487,Cluster 4487,2
4488,Cluster 4488,2
4489,Cluster 4489,1
4490,Cluster 4490,1
4491,Cluster 4491,1
4492,Cluster 4492,1
4493,Cluster 4493,1
4494,Cluster 4494,1
4495,Cluster 4495,7
4496,Cluster 4496,43
4497,Cluster 4497,63
4498,Cluster 4498,63
4499,Cluster 4499,63
4500,Cluster 4500,63
4501,Cluster 4501,63
4502,Cluster 4502,63
4503,Cluster 4503,63
4504,Cluster 4504,18
4505,Cluster 4505,57
4506,Cluster 4506,63
4507,Cluster 4507,63
4508,Cluster 4508,63
4509,Cluster 4509,63
4510,Cluster 4510,38
4511,Cluster 4511,23
4512,Cluster 4512,2
4513,Cluster 4513,63
4514,Cluster 4514,15
4515,Cluster 4515,1
4516,Cluster 4516,12
4517,Cluster 4517,3
4518,Cluster 4518,11
4519,Cluster 4519,1
4520,Cluster 4520,1
4521,Cluster 4521,2
4522,Cluster 4522,2
4523,Cluster 4523,1
4524,Cluster 4524,1
4525,Cluster 4525,2
4526,Cluster 4526,63
4527,Cluster 4527,63
4528,Cluster 4528,63
4529,Cluster 4529,63
4530,Cluster 4530,63
4531,Cluster 4531,63
4532,Cluster 4532,22
4533,Cluster 4533,13
4534,Cluster 4534,27
4535,Cluster 4535,2
4536,Cluster 4536,4
4537,Cluster 4537,1
4538,Cluster 4538,9
4539,Cluster 4539,3
4540,Cluster 4540,5
4541,Cluster 4541,63
4542,Cluster 4542,1
4543,Cluster 4543,5
4544,Cluster 4544,3
4545,Cluster 4545,5
4546,Cluster 4546,1
4547,Cluster 4547,1
4548,Cluster 4548,3
4549,Cluster 4549,61
4550,Cluster 4550,61
4551,Cluster 4551,63
4552,Cluster 4552,27
4553,Cluster 4553,63
4554,Cluster 4554,63
4555,Cluster 4555,35
4556,Cluster 4556,57
4557,Cluster 4557,63
4558,Cluster 4558,63
4559,Cluster 4559,63
4560,Cluster 4560,63
4561,Cluster 4561,17
4562,Cluster 4562,14
4563,Cluster 4563,1
4564,Cluster 4564,2
4565,Cluster 4565,1
4566,Cluster 4566,1
4567,Cluster 4567,6
4568,Cluster 4568,1
4569,Cluster 4569,1
4570,Cluster 4570,1
4571,Cluster 4571,1
4572,Cluster 4572,1
4573,Cluster 4573,1
4574,Cluster 4574,45
4575,Cluster 4575,1
4576,Cluster 4576,1
4577,Cluster 4577,1
4578,Cluster 4578,63
4579,Cluster 4579,63
4580,Cluster 4580,62
4581,Cluster 4581,33
4582,Cluster 4582,12
4583,Cluster 4583,63
4584,Cluster 4584,7
4585,Cluster 4585,63
4586,Cluster 4586,54
4587,Cluster 4587,63
4588,Cluster 4588,63
4589,Cluster 4589,41
4590,Cluster 4590,2
4591,Cluster 4591,12
4592,Cluster 4592,33
4593,Cluster 4593,2
4594,Cluster 4594,46
4595,Cluster 4595,27
4596,Cluster 4596,28
4597,Cluster 4597,7
4598,Cluster 4598,1
4599,Cluster 4599,10
4600,Cluster 4600,4
4601,Cluster 4601,1
4602,Cluster 4602,4
4603,Cluster 4603,1
4604,Cluster 4604,2
4605,Cluster 4605,62
4606,Cluster 4606,5
4607,Cluster 4607,1
4608,Cluster 4608,1
4609,Cluster 4609,1
4610,Cluster 4610,63
4611,Cluster 4611,1
4612,Cluster 4612,1
4613,Cluster 4613,29
4614,Cluster 4614,63
4615,Cluster 4615,63
4616,Cluster 4616,53
4617,Cluster 4617,63
4618,Cluster 4618,63
4619,Cluster 4619,63
4620,Cluster 4620,38
4621,Cluster 4621,62
4622,Cluster 4622,31
4623,Cluster 4623,1
4624,Cluster 4624,33
4625,Cluster 4625,18
4626,Cluster 4626,20
4627,Cluster 4627,4
4628,Cluster 4628,4
4629,Cluster 4629,1
4630,Cluster 4630,1
4631,Cluster 4631,4
4632,Cluster 4632,3
4633,Cluster 4633,17
4634,Cluster 4634,1
4635,Cluster 4635,7
4636,Cluster 4636,63
4637,Cluster 4637,57
4638,Cluster 4638,51
4639,Cluster 4639,11
4640,Cluster 4640,63
4641,Cluster 4641,63
4642,Cluster 4642,63
4643,Cluster 4643,63
4644,Cluster 4644,63
4645,Cluster 4645,62
4646,Cluster 4646,63
4647,Cluster 4647,20
4648,Cluster 4648,19
4649,Cluster 4649,10
4650,Cluster 4650,23
4651,Cluster 4651,15
4652,Cluster 4652,11
4653,Cluster 4653,3
4654,Cluster 4654,2
4655,Cluster 4655,3
4656,Cluster 4656,1
4657,Cluster 4657,1
4658,Cluster 4658,1
4659,Cluster 4659,59
4660,Cluster 4660,51
4661,Cluster 4661,63
4662,Cluster 4662,36
4663,Cluster 4663,45
4664,Cluster 4664,11
4665,Cluster 4665,63
4666,Cluster 4666,63
4667,Cluster 4667,39
4668,Cluster 4668,5
4669,Cluster 4669,28
4670,Cluster 4670,3
4671,Cluster 4671,16
4672,Cluster 4672,1
4673,Cluster 4673,8
4674,Cluster 4674,29
4675,Cluster 4675,16
4676,Cluster 4676,44
4677,Cluster 4677,1
4678,Cluster 4678,1
4679,Cluster 4679,6
4680,Cluster 4680,1
4681,Cluster 4681,1
4682,Cluster 4682,62
4683,Cluster 4683,16
4684,Cluster 4684,63
4685,Cluster 4685,63
4686,Cluster 4686,51
4687,Cluster 4687,63
4688,Cluster 4688,63
4689,Cluster 4689,63
4690,Cluster 4690,12
4691,Cluster 4691,1
4692,Cluster 4692,2
4693,Cluster 4693,2
4694,Cluster 4694,2
4695,Cluster 4695,1
4696,Cluster 4696,1
4697,Cluster 4697,1
4698,Cluster 4698,61
4699,Cluster 4699,63
4700,Cluster 4700,62
4701,Cluster 4701,63
4702,Cluster 4702,62
4703,Cluster 4703,63
4704,Cluster 4704,63
4705,Cluster 4705,63
4706,Cluster 4706,63
4707,Cluster 4707,3
4708,Cluster 4708,3
4709,Cluster 4709,1
4710,Cluster 4710,4
4711,Cluster 4711,3
4712,Cluster 4712,1
4713,Cluster 4713,1
4714,Cluster 4714,1
4715,Cluster 4715,5
4716,Cluster 4716,1
4717,Cluster 4717,1
4718,Cluster 4718,1
4719,Cluster 4719,2
4720,Cluster 4720,1
4721,Cluster 4721,63
4722,Cluster 4722,63
4723,Cluster 4723,63
4724,Cluster 4724,63
4725,Cluster 4725,63
4726,Cluster 4726,63
4727,Cluster 4727,62
4728,Cluster 4728,63
4729,Cluster 4729,17
4730,Cluster 4730,1
4731,Cluster 4731,11
4732,Cluster 4732,1
4733,Cluster 4733,1
4734,Cluster 4734,2
4735,Cluster 4735,5
4736,Cluster 4736,1
4737,Cluster 4737,1
4738,Cluster 4738,2
4739,Cluster 4739,29
4740,Cluster 4740,63
4741,Cluster 4741,11
4742,Cluster 4742,11
4743,Cluster 4743,63
4744,Cluster 4744,63
4745,Cluster 4745,63
4746,Cluster 4746,63
4747,Cluster 4747,48
4748,Cluster 4748,3
4749,Cluster 4749,1
4750,Cluster 4750,23
4751,Cluster 4751,23
4752,Cluster 4752,17
4753,Cluster 4753,22
4754,Cluster 4754,1
4755,Cluster 4755,3
4756,Cluster 4756,3
4757,Cluster 4757,63
4758,Cluster 4758,25
4759,Cluster 4759,1
4760,Cluster 4760,1
4761,Cluster 4761,2
4762,Cluster 4762,1
4763,Cluster 4763,1
4764,Cluster 4764,3
4765,Cluster 4765,63
4766,Cluster 4766,1
4767,Cluster 4767,1
4768,Cluster 4768,63
4769,Cluster 4769,63
4770,Cluster 4770,62
4771,Cluster 4771,63
4772,Cluster 4772,63
4773,Cluster 4773,63
4774,Cluster 4774,63
4775,Cluster 4775,59
4776,Cluster 4776,62
4777,Cluster 4777,63
4778,Cluster 4778,63
4779,Cluster 4779,35
4780,Cluster 4780,7
4781,Cluster 4781,56
4782,Cluster 4782,1
4783,Cluster 4783,22
4784,Cluster 4784,12
4785,Cluster 4785,2
4786,Cluster 4786,9
4787,Cluster 4787,5
4788,Cluster 4788,2
4789,Cluster 4789,1
4790,Cluster 4790,18
4791,Cluster 4791,4
4792,Cluster 4792,2
4793,Cluster 4793,1
4794,Cluster 4794,1
4795,Cluster 4795,3
4796,Cluster 4796,63
4797,Cluster 4797,63
4798,Cluster 4798,63
4799,Cluster 4799,63
4800,Cluster 4800,63
4801,Cluster 4801,63
4802,Cluster 4802,63
4803,Cluster 4803,63
4804,Cluster 4804,63
4805,Cluster 4805,20
4806,Cluster 4806,48
4807,Cluster 4807,4
4808,Cluster 4808,22
4809,Cluster 4809,6
4810,Cluster 4810,3
4811,Cluster 4811,1
4812,Cluster 4812,4
4813,Cluster 4813,4
4814,Cluster 4814,3
4815,Cluster 4815,1
4816,Cluster 4816,1
4817,Cluster 4817,1
4818,Cluster 4818,1
4819,Cluster 4819,1
4820,Cluster 4820,1
4821,Cluster 4821,1
4822,Cluster 4822,63
4823,Cluster 4823,63
4824,Cluster 4824,62
4825,Cluster 4825,63
4826,Cluster 4826,39
4827,Cluster 4827,5
4828,Cluster 4828,63
4829,Cluster 4829,63
4830,Cluster 4830,63
4831,Cluster 4831,19
4832,Cluster 4832,63
4833,Cluster 4833,63
4834,Cluster 4834,63
4835,Cluster 4835,63
4836,Cluster 4836,2
4837,Cluster 4837,43
4838,Cluster 4838,8
4839,Cluster 4839,6
4840,Cluster 4840,24
4841,Cluster 4841,1
4842,Cluster 4842,4
4843,Cluster 4843,6
4844,Cluster 4844,1
4845,Cluster 4845,5
4846,Cluster 4846,2
4847,Cluster 4847,3
4848,Cluster 4848,1
4849,Cluster 4849,1
4850,Cluster 4850,32
4851,Cluster 4851,1
4852,Cluster 4852,1
4853,Cluster 4853,29
4854,Cluster 4854,38
4855,Cluster 4855,18
4856,Cluster 4856,62
4857,Cluster 4857,63
4858,Cluster 4858,61
4859,Cluster 4859,4
4860,Cluster 4860,18
4861,Cluster 4861,15
4862,Cluster 4862,22
4863,Cluster 4863,7
4864,Cluster 4864,2
4865,Cluster 4865,2
4866,Cluster 4866,2
4867,Cluster 4867,1
4868,Cluster 4868,1
4869,Cluster 4869,63
4870,Cluster 4870,60
4871,Cluster 4871,63
4872,Cluster 4872,26
4873,Cluster 4873,41
4874,Cluster 4874,63
4875,Cluster 4875,63
4876,Cluster 4876,63
4877,Cluster 4877,62
4878,Cluster 4878,59
4879,Cluster 4879,63
4880,Cluster 4880,63
4881,Cluster 4881,63
4882,Cluster 4882,32
4883,Cluster 4883,31
4884,Cluster 4884,25
4885,Cluster 4885,15
4886,Cluster 4886,17
4887,Cluster 4887,1
4888,Cluster 4888,1
4889,Cluster 4889,1
4890,Cluster 4890,1
4891,Cluster 4891,1
4892,Cluster 4892,1
4893,Cluster 4893,1
4894,Cluster 4894,1
4895,Cluster 4895,2
4896,Cluster 4896,1
4897,Cluster 4897,63
4898,Cluster 4898,63
4899,Cluster 4899,63
4900,Cluster 4900,17
4901,Cluster 4901,63
4902,Cluster 4902,63
4903,Cluster 4903,63
4904,Cluster 4904,63
4905,Cluster 4905,78
4906,Cluster 4906,12
4907,Cluster 4907,1
4908,Cluster 4908,5
4909,Cluster 4909,22
4910,Cluster 4910,26
4911,Cluster 4911,1
4912,Cluster 4912,3
4913,Cluster 4913,8
4914,Cluster 4914,1
4915,Cluster 4915,1
4916,Cluster 4916,4
4917,Cluster 4917,17
4918,Cluster 4918,1
4919,Cluster 4919,1
4920,Cluster 4920,1
4921,Cluster 4921,2
4922,Cluster 4922,2
4923,Cluster 4923,20
4924,Cluster 4924,1
4925,Cluster 4925,63
4926,Cluster 4926,55
4927,Cluster 4927,63
4928,Cluster 4928,63
4929,Cluster 4929,58
4930,Cluster 4930,63
4931,Cluster 4931,15
4932,Cluster 4932,41
